,Unnamed: 0,rdf-schema#label,description,gender,rdf-schema#comment,gender_from_pronouns,comment_length,word_comment_length
0,0,Ingeborg Moen Borgerud,Norwegian businesswoman and politician,U,Ingeborg Moen Borgerud (born 23 September 1949) is a Norwegian lawyer businessperson and former politician for the Labour Party.,NULL,128.0,19
1,1,Ingeborg Nilsson,Figure skater,U,Ingeborg Nilsson (1924 – 1995) was a Norwegian figure skater. She competed at the 1952 Winter Olympics in Oslo.She was Norwegian individual champion in 1953 and 1954 and in pairs in 1956 1957 1958 and 1959 together with partner Reidar Børjeson.,female,247.0,41
2,2,Ingeborg Norell,Finnish heroine / life saver,U,Ingeborg Norell (born 1727) was the first Finnish female to have received an official decoration and to have been the subject of a commemorative plaque. She was commemorated in recognition for her act which saved many lives in Tenala in 1780.,female,242.0,41
3,3,Ingeborg Pehrson,Danish actor,U,Ingeborg Pehrson (16 December 1886 - 11 April 1950) was a Danish stage and film actress.,NULL,88.0,16
4,4,Ingeborg Pfüller,Argentine shot putter and discus thrower,U,Ingeborg Ella Pfüller (born January 1 1932) was a female track and field athlete from Argentina competing in the discus throw. She represented her native country at the 1952 Summer Olympics and won the gold medal in the women's discus throw event at the 1955 Pan American Games in Mexico City Mexico.,female,301.0,52
5,5,Ingeborg Rasmussen,Norwegian canoeist,U,Ingeborg Rasmussen (born July 5 1960) is a Norwegian sprint canoer who competed from the mid-1980s to the early 1990s. Competing in two Summer Olympics she earned her best finish of sixth in the K-4 500 m event at Los Angeles in 1984.,female,234.0,43
6,6,Ingeborg Refling Hagen,Norwegian writer,U,Ingeborg Refling Hagen (19 December 1895 - 30 November 1989) was a Norwegian author and teacher.,NULL,96.0,16
7,7,Ingeborg Reichelt,German soprano,U,Ingeborg Reichelt (born 11 May 1928 in Frankfurt an der Oder) is a German soprano singer. She is known for singing works of Johann Sebastian Bach.,female,146.0,26
8,8,Ingeborg Roelofs,Handball player,U,Ingeborg Roelofs (born 1983) is a Dutch team handball player. She plays on the Dutch national team and participated at the 2011 World Women's Handball Championship in Brazil.,female,174.0,28
9,9,Ingeborg Sørensen,Norwegian playmate,U,Ingeborg Sørensen (born 16 May 1948 in Drammen Norway) is a Norwegian model. She was Playboy magazine's Playmate of the Month for its March 1975 issue.She was Miss Norway in 1972 and finished in second place in the 1972 Miss World competition (which was won by Australian Belinda Green).,female,288.0,49
10,10,Ingeborg Schöner,Actress,U,Ingeborg Schöner is a German film and television actress.,NULL,58.0,9
11,11,Ingeborg Scheel,Fencer,U,Ingeborg Scheel (born 15 October 1907 date of death unknown) was a Swiss fencer. She competed in the women's individual foil event at the 1936 Summer Olympics.,female,159.0,27
12,12,Ingeborg Schmitz,Swimmer,U,Ingeborg Inge Schmitz (born 22 April 1922) is a former German swimmer who competed in the 1936 Summer Olympics.In the 1936 Olympics she won a silver medal in the 4x100 m freestyle relay event. She was also fifth in her first round heat of 100 m freestyle event and did not advance.,female,281.0,52
13,13,Ingeborg Schwenzer,German jurist,U,Ingeborg Schwenzer (born 25 October 1951 Stuttgart) is a German jurist and professor for private and comparative law at the University of Basel Switzerland.,NULL,156.0,24
14,14,Ingeborg Sjöqvist,Swedish diver,U,Ingeborg Maria Sjöqvist-Ingers (born 19 April 1912) is a Swedish diver who competed in the 1932 Summer Olympics and in the 1936 Summer Olympics.She was born in Kalmar. In 1932 she finished fourth in the 10 metre platform event in Los Angeles where she was the only female member of Sweden's national team.,female,306.0,53
15,15,Ingeborg Spangsfeldt,Danish actor,U,Ingeborg Spangsfeldt (25 July 1895 – 21 June 1968) was a Danish film actress whose career began in the early 1910s until her retirement upon getting married in 1924.,female,167.0,29
16,16,Ingeborg Steinholt,politician,U,Ingeborg Haug Steinholt (born 16 June 1986 in Sandnessjøen) is a Norwegian politician for the Red Party and since 2007 a member of Nordland County Council. Steinholt was a member of the Central Committee of Red Youth (RU) from 2006 to 2010. She was also a member of the Central Board of Directors of Red Youth.Steinholt was born in Sandnessjøen and is currently studying medicine in Tromsø.,female,393.0,67
17,17,Ingeborg Strandin,Swedish opera singer,U,Ingeborg Strandin was a Swedish opera singer and actress who was born November 18 1881 in Stockholm and died on March 8 1948.Strandin film debuted in 1919 in His Lordship's Last Will directed by Victor Sjostrom and went on to participate in over 15 films.,male,255.0,45
18,18,Ingeborg Wærstad,Norwegian politician,U,Ingeborg Wærstad (born 4 April 1926) was a Norwegian politician for the Centre Party.She served as a deputy representative to the Parliament of Norway from Telemark during the term 1973–1977. In total she met during 21 days of parliamentary session. She was a housewife in Nome.,female,281.0,46
